instrument,date,R
NZDUSD,2021-03-19,2.0
USDCHF,2021-03-24,0.0
USDJPY,2021-05-03,0.0
EURGBP,2021-05-07,-1.0
EURUSD,2021-05-07,0.0
USDCHF,2021-05-07,2.0
AUDUSD,2021-05-13,2.0
NZDUSD,2021-05-13,2.0
EURGBP,2021-05-27,0.0
NZDUSD,2021-07-06,-1.0
USDCHF,2021-07-09,2.0
EURGBP,2021-07-23,0.0
USDJPY,2021-07-28,-0.9899
EURUSD,2021-07-30,-1.0
NZDUSD,2021-07-30,-1.0
AUDUSD,2021-08-09,2.0
AUDUSD,2021-08-27,-1.0
NZDUSD,2021-08-27,-1.0
USDCHF,2021-08-27,2.0
AUDUSD,2021-09-17,-1.0
EURUSD,2021-09-17,2.0
EURGBP,2021-09-28,-1.059
USDCHF,2021-09-29,-1.0
NZDUSD,2021-09-30,-1.0
NZDUSD,2021-11-04,-1.0
USDCHF,2021-11-11,2.0
USDJPY,2021-11-11,0.0
EURGBP,2021-11-16,2.0
USDJPY,2021-11-29,-0.9867
EURUSD,2021-12-09,0.3574
USDCHF,2021-12-17,0.0
NZDUSD,2021-12-22,0.0
AUDUSD,2022-01-07,-1.0
USDCHF,2022-01-11,2.0
USDJPY,2022-02-04,0.0
AUDUSD,2022-02-28,2.0
USDJPY,2022-03-03,1.9547
EURGBP,2022-03-10,0.0
NZDUSD,2022-03-15,-1.0
AUDUSD,2022-03-18,2.0
USDCHF,2022-03-31,-1.0
EURUSD,2022-04-05,2.0
EURUSD,2022-05-20,-0.0185
EURGBP,2022-05-26,-1.0
NZDUSD,2022-06-10,0.0
EURGBP,2022-06-23,-1.0
USDCHF,2022-07-12,-1.0
AUDUSD,2022-07-20,0.0
EURUSD,2022-08-03,-1.0
EURUSD,2022-08-16,2.0
USDCHF,2022-10-07,0.0
EURUSD,2022-10-18,2.0
USDJPY,2022-11-01,-1.036
EURGBP,2022-11-04,0.8704
AUDUSD,2022-11-29,-1.0
USDCHF,2022-12-01,2.0
USDJPY,2022-12-16,-1.031
EURUSD,2023-01-04,-0.0635
EURGBP,2023-01-18,-1.0
EURGBP,2023-02-16,-1.0
EURUSD,2023-02-23,-1.0
AUDUSD,2023-03-29,-1.0
EURUSD,2023-04-12,0.0
NZDUSD,2023-04-14,-1.0
USDCHF,2023-05-12,0.0
USDJPY,2023-05-15,1.9203
AUDUSD,2023-06-07,0.0
EURUSD,2023-06-09,2.0
USDCHF,2023-07-07,2.0
EURUSD,2023-07-10,2.0
EURGBP,2023-07-17,2.0
AUDUSD,2023-07-24,2.0
USDJPY,2023-07-24,1.8763
EURGBP,2023-07-26,-0.4378
EURUSD,2023-08-03,2.0
NZDUSD,2023-08-30,-1.0
USDCHF,2023-09-01,2.0
AUDUSD,2023-09-06,0.0
NZDUSD,2023-09-20,0.0
USDCHF,2023-10-06,2.0
EURUSD,2023-10-17,0.0
EURGBP,2023-10-18,2.0
EURUSD,2023-10-31,2.0
USDCHF,2023-11-01,-1.0
EURGBP,2023-11-06,-1.0
USDJPY,2023-11-06,-0.9937
USDJPY,2023-11-20,2.0513
EURGBP,2023-11-22,2.0
EURUSD,2023-12-14,0.0
EURGBP,2024-01-04,0.5064
NZDUSD,2024-02-05,-1.0
AUDUSD,2024-02-29,-1.0
NZDUSD,2024-02-29,2.0
USDCHF,2024-03-01,2.0
EURUSD,2024-03-15,2.0
USDJPY,2024-03-18,1.9303
AUDUSD,2024-04-11,0.0
AUDUSD,2024-05-01,-1.0
NZDUSD,2024-05-01,-1.0
USDJPY,2024-05-16,-0.9676
EURGBP,2024-05-20,2.0
EURUSD,2024-05-30,-1.0
USDCHF,2024-05-31,2.0
NZDUSD,2024-06-10,-1.0
AUDUSD,2024-06-14,-1.0
USDJPY,2024-07-18,2.1155
EURGBP,2024-07-26,2.0
NZDUSD,2024-08-13,2.0
USDCHF,2024-08-16,-1.0
USDJPY,2024-08-16,0.1152
EURGBP,2024-08-23,1.3786
AUDUSD,2024-09-09,-1.0
USDCHF,2024-09-10,2.0
AUDUSD,2024-11-06,-1.0
NZDUSD,2024-11-07,2.0
NZDUSD,2024-11-29,-1.0
USDJPY,2024-12-16,0.0
NZDUSD,2025-01-31,-1.0
USDCHF,2025-02-05,2.0
EURUSD,2025-02-12,2.0
EURGBP,2025-02-13,-1.0
AUDUSD,2025-02-27,0.0
EURGBP,2025-03-05,2.0
USDJPY,2025-03-18,-1.022
EURGBP,2025-03-20,0.0
AUDUSD,2025-03-21,2.0
EURUSD,2025-04-03,2.0
USDCHF,2025-04-03,2.0
NZDUSD,2025-05-08,-1.0
USDCHF,2025-05-09,-1.0
EURGBP,2025-05-13,-1.0
AUDUSD,2025-05-14,0.0
USDJPY,2025-05-29,0.0
NZDUSD,2025-07-11,-1.0
EURUSD,2025-07-29,0.0
USDCHF,2025-07-29,0.0
EURGBP,2025-08-04,-1.0
EURGBP,2025-08-29,0.0
USDCHF,2025-09-03,-1.0
NZDUSD,2025-09-09,-1.0
EURGBP,2025-09-17,0.0
USDJPY,2025-09-19,0.0
EURUSD,2025-09-25,0.0
USDCHF,2025-09-25,0.0
AUDUSD,2025-09-30,0.0796
EURGBP,2025-10-14,-1.0
EURGBP,2025-11-12,-1.0
